url,format,mapping
http://www.dati.salute.gov.it/imgs/C_17_dataset_68_download_itemDownload_0_upFile.csv,scsv,mapping/aziende-ospedaliere.sparql
http://dati.umbria.it/dataset/c3d9e1c7-67aa-4ea7-bf95-b5ec299db957/resource/c4752700-7708-4be3-a1ae-64a62971e8a0/download/elencobibliotechesbnattivopassivocleaned.json,json,mapping/biblioteche-sbn-umbria.sparql
